domain,fp_id,fp_name,confidence,flame_tp_ids,evidence
5ber.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
5d.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
5e.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
5esla.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
5hc.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
5num.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
5r3.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
5rezor.io,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
5s.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
5saa.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
5td.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
5tesla.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
5travelers.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
5w.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
5y.loseyourip.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
5y.loseyourip.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,90,,proxy_detected=yes
5z.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
5z.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
5z.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,80,,proxy_detected=yes
63.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
63gmail.co.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
63gmail.co.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
653.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
666fsd.com,FP-0011,IP-KVM / Remote-Management Exposure,15,,rmm_detected=yes
6707778.xyz,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,95,TP-0001,primary_mx~pickelhost.com
673298.ws,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~hope-mail.com
677lu.com,FP-0011,IP-KVM / Remote-Management Exposure,80,,rmm_detected=yes
698241.com,FP-0011,IP-KVM / Remote-Management Exposure,60,,rmm_detected=yes
69postix.info,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
69z.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~mailerhost.net
6d.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
6ed.info,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
6ed.info,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
6gmail.co.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
6gmail.co.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
6ip.us,FP-0011,IP-KVM / Remote-Management Exposure,40,,rmm_detected=yes
6rezor.io,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
6td.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
