relay_hostname,ingress_ip,exit_ip,probe_date
ca-mtr-wg-003,146.70.198.194,146.70.198.195,2026-07-07
ca-mtr-wg-004,188.241.176.194,188.241.176.195,2026-07-07
ca-mtr-wg-201,62.93.167.130,62.93.167.133,2026-07-07
ca-mtr-wg-202,62.93.167.160,62.93.167.163,2026-07-07
ca-mtr-wg-301,23.234.120.2,23.234.120.35,2026-07-07
ca-mtr-wg-302,23.234.120.127,23.234.120.160,2026-07-07
ca-mtr-wg-303,23.234.121.2,23.234.121.35,2026-07-07
ca-mtr-wg-304,23.234.121.127,23.234.121.160,2026-07-07
ca-mtr-wg-305,23.234.122.2,23.234.122.35,2026-07-07
ca-mtr-wg-306,23.234.122.127,23.234.122.160,2026-07-07
ca-mtr-wg-307,23.234.123.2,23.234.123.35,2026-07-07
ca-mtr-wg-308,23.234.123.127,23.234.123.160,2026-07-07
ca-tor-wg-001,178.249.214.2,178.249.214.3,2026-07-07
ca-tor-wg-002,178.249.214.15,178.249.214.16,2026-07-07
ca-tor-wg-201,23.234.84.2,23.234.84.19,2026-07-07
ca-tor-wg-202,23.234.84.127,23.234.84.144,2026-07-07
ca-tor-wg-203,23.234.85.2,23.234.85.19,2026-07-07
ca-tor-wg-204,23.234.85.127,23.234.85.144,2026-07-07
ca-tor-wg-205,23.234.86.2,23.234.86.19,2026-07-07
ca-tor-wg-206,23.234.86.127,23.234.86.144,2026-07-07
ca-tor-wg-207,23.234.87.2,23.234.87.19,2026-07-07
ca-van-wg-201,104.193.135.196,104.193.135.197,2026-07-07
ca-van-wg-202,104.193.135.100,104.193.135.101,2026-07-07
ca-van-wg-301,149.22.81.194,149.22.81.195,2026-07-07
ca-van-wg-302,149.22.81.207,149.22.81.208,2026-07-07
ca-yyc-wg-201,38.240.225.36,38.240.225.37,2026-07-07
ca-yyc-wg-202,38.240.225.68,38.240.225.69,2026-07-07
ch-zrh-wg-001,193.32.127.66,193.32.127.211,2026-07-07
ch-zrh-wg-002,193.32.127.67,193.32.127.190,2026-07-07
ch-zrh-wg-003,193.32.127.68,193.32.127.223,2026-07-07
ch-zrh-wg-005,193.32.127.70,193.32.127.235,2026-07-07
ch-zrh-wg-006,193.32.127.84,193.32.127.169,2026-07-07
ch-zrh-wg-201,179.43.189.66,179.43.189.67,2026-07-07
ch-zrh-wg-202,46.19.136.226,46.19.136.227,2026-07-07
ch-zrh-wg-401,138.199.6.194,138.199.6.195,2026-07-07
ch-zrh-wg-402,138.199.6.207,138.199.6.208,2026-07-07
ch-zrh-wg-404,138.199.6.233,138.199.6.234,2026-07-07
ch-zrh-wg-502,135.136.18.194,135.136.18.254,2026-07-07
cl-scl-wg-001,149.88.104.2,149.88.104.3,2026-07-07
cl-scl-wg-002,149.88.104.15,149.88.104.16,2026-07-07
cy-nic-wg-001,195.47.194.131,195.47.194.134,2026-07-07
cy-nic-wg-002,195.47.194.161,195.47.194.164,2026-07-07
cz-prg-wg-101,146.70.129.98,146.70.129.99,2026-07-07
cz-prg-wg-102,146.70.129.130,146.70.129.131,2026-07-07
cz-prg-wg-201,178.249.209.162,178.249.209.163,2026-07-07
cz-prg-wg-202,178.249.209.175,178.249.209.176,2026-07-07
de-ber-wg-003,193.32.248.68,193.32.248.155,2026-07-07
de-ber-wg-004,193.32.248.69,193.32.248.168,2026-07-07
de-ber-wg-005,193.32.248.70,193.32.248.181,2026-07-07
de-ber-wg-006,193.32.248.71,193.32.248.194,2026-07-07
de-ber-wg-007,193.32.248.75,193.32.248.244,2026-07-07
de-ber-wg-008,193.32.248.74,193.32.248.234,2026-07-07
de-dus-wg-001,185.254.75.3,185.254.75.13,2026-07-07
de-dus-wg-002,185.254.75.4,185.254.75.14,2026-07-07
de-dus-wg-003,185.254.75.5,185.254.75.15,2026-07-07
de-fra-wg-001,185.213.155.73,185.213.155.200,2026-07-07
de-fra-wg-002,185.213.155.74,185.213.155.227,2026-07-07
